invoice_number,vendor_name,gst_number,invoice_category,payment_method,invoice_amount,tax_amount,payment_terms,invoice_date,due_date,vendor_frequency,duplicate_invoice,gst_valid,tax_mismatch,date_anomaly,amount_deviation,fraud
INV-100028,Apex Supplies,19XNFEB3020QRZA,Software,Cheque,50609.25,9109.66,15,2026-03-02 12:15:35.168268,2026-01-31 12:15:35.168268,21,0,1,0,1,0.82,1
INV-100029,Skyline Pvt Ltd,23FWDNG2507XQZB,Software,UPI,12542.54,2257.66,60,2025-12-13 12:15:35.168280,2026-02-11 12:15:35.168280,48,0,1,0,0,0.81,0
INV-100030,XYZ Solutions,14TVHHB1001DQZ0,Software,UPI,23344.69,4202.04,30,2025-11-18 12:15:35.168289,2025-12-18 12:15:35.168289,88,0,1,0,0,0.92,0
INV-100031,Future Innovations,24XYQNU5264A2ZX,Electronics,Cheque,3800.83,684.15,30,2025-11-12 12:15:35.168300,2025-12-12 12:15:35.168300,64,0,1,0,0,5.49,1
INV-100032,Prime Electronics,14XTBOU0973G6Z1,Maintenance,UPI,93780.5,16880.49,15,2025-11-18 12:15:35.168313,2025-12-03 12:15:35.168313,57,0,1,0,0,0.79,0
INV-100033,Vertex Systems,30HMWSV2567Q6Z1,Maintenance,UPI,78244.54,14084.02,15,2025-08-29 12:15:35.168322,2025-09-13 12:15:35.168322,75,0,1,0,0,1.36,0
INV-100034,Global Traders,24ATPTV0010RWZ2,Consulting,Cheque,15295.01,2753.1,60,2026-06-14 12:15:35.168332,2026-08-13 12:15:35.168332,54,0,1,0,0,0.92,0
INV-100035,Future Innovations,20SLJNJ4277QQZE,Consulting,Cheque,28004.68,5040.84,45,2026-06-12 12:15:35.168341,2026-07-27 12:15:35.168341,2,0,1,0,0,0.69,0
INV-100036,Prime Electronics,34FOVJY3491TCZU,Consulting,Cheque,13102.74,2358.49,30,2026-04-10 12:15:35.168351,2026-05-10 12:15:35.168351,44,0,1,0,0,1.11,0
INV-100037,Bluechip Enterprises,33LMWBX5889L8ZF,Software,UPI,73162.56,13169.26,60,2025-09-18 12:15:35.168360,2025-11-17 12:15:35.168360,100,0,1,0,0,0.6,0
INV-100038,Bluechip Enterprises,36AZEXV8630SOZS,Hardware,Cheque,63183.67,11373.06,45,2026-04-15 12:15:35.168370,2026-05-30 12:15:35.168370,68,0,1,0,0,0.55,0
INV-100039,XYZ Solutions,24IBMFK0752YAZX,Maintenance,Credit Card,2873.51,517.23,15,2026-05-18 12:15:35.168379,2026-06-02 12:15:35.168379,61,0,1,0,0,1.15,0
INV-100040,Vertex Systems,23HAOIL9229K4ZN,Software,UPI,86099.68,15497.94,45,2025-07-03 12:15:35.168388,2025-08-17 12:15:35.168388,28,0,1,0,0,0.72,0
INV-100041,ABC Technologies,27PLFMT3649J6ZM,Consulting,UPI,57787.35,10401.72,45,2025-10-04 12:15:35.168399,2025-11-18 12:15:35.168399,9,1,1,0,0,1.46,1
INV-100042,Apex Supplies,24IYQHY8669LDZO,Hardware,Bank Transfer,95610.32,17209.86,60,2025-07-27 12:15:35.168411,2025-09-25 12:15:35.168411,34,0,1,0,0,0.71,0
INV-100043,TechNova,35IMTVY7440FCZ9,Hardware,UPI,58731.38,10571.65,45,2026-06-12 12:15:35.168422,2026-07-27 12:15:35.168422,32,0,1,0,0,1.41,0
INV-100044,XYZ Solutions,15HJEQX8999ABZZ,Electronics,Bank Transfer,4392.11,790.58,60,2026-02-03 12:15:35.168431,2026-04-04 12:15:35.168431,76,0,1,0,0,1.37,0
INV-100045,TechNova,23ZNKXG5729SRZ2,Software,Cheque,33070.03,7963.98,60,2026-01-30 12:15:35.168440,2026-03-31 12:15:35.168440,75,0,1,1,0,1.28,1
INV-100046,Vertex Systems,35QDWXA9548GSZO,Consulting,Bank Transfer,69001.44,12420.26,45,2026-02-28 12:15:35.168452,2026-04-14 12:15:35.168452,43,0,1,0,0,1.16,0
INV-100047,TechNova,33NWKGU9049H2ZY,Software,Cheque,3506.61,631.19,60,2026-03-22 12:15:35.168461,2026-05-21 12:15:35.168461,92,0,1,0,0,1.41,0
INV-100048,Prime Electronics,18YFJIO6581JFZI,Consulting,Bank Transfer,9550.23,1719.04,15,2026-03-01 12:15:35.168470,2026-03-16 12:15:35.168470,58,0,1,0,0,0.94,0
INV-100049,Future Innovations,36IPOSU9383UWZX,Electronics,Bank Transfer,81089.65,14596.14,60,2025-10-22 12:15:35.168479,2025-12-21 12:15:35.168479,7,0,1,0,0,0.78,0
INV-100050,Prime Electronics,30WSEVL7087G1ZY,Electronics,Bank Transfer,67708.88,12187.6,15,2025-09-07 12:15:35.168488,2025-09-22 12:15:35.168488,58,0,1,0,0,0.77,0
INV-100051,Vertex Systems,33UUTOS4139T0Z5,Maintenance,Cheque,79546.91,14318.44,30,2026-01-17 12:15:35.168497,2026-02-16 12:15:35.168497,50,0,1,0,0,1.04,0
INV-100052,Apex Supplies,18EOFRX1297B6ZX,Software,Credit Card,62195.55,11195.2,15,2026-04-06 12:15:35.168506,2026-04-21 12:15:35.168506,93,0,1,0,0,1.14,0
INV-100053,ABC Technologies,25HPGXE7736JWZT,Electronics,Credit Card,93879.83,16898.37,45,2025-09-26 12:15:35.168516,2025-11-10 12:15:35.168516,44,0,1,0,0,1.33,0
INV-100054,Global Traders,GST123,Hardware,Cheque,1568.86,282.39,30,2026-04-12 12:15:35.168526,2026-05-12 12:15:35.168526,79,0,0,0,0,0.94,1
INV-100055,XYZ Solutions,15GIJCC8995FJZ4,Hardware,UPI,6576.87,1183.84,30,2025-11-24 12:15:35.168536,2025-12-24 12:15:35.168536,50,0,1,0,0,1.07,0
INV-100056,Bluechip Enterprises,32ALXWI6452N1Z2,Hardware,Cheque,26556.43,4780.16,45,2025-07-07 12:15:35.168546,2025-08-21 12:15:35.168546,36,0,1,0,0,1.04,0
INV-100057,TechNova,22CHMLE6027EKZ1,Maintenance,UPI,60721.49,10929.87,15,2026-02-24 12:15:35.168555,2026-03-11 12:15:35.168555,25,1,1,0,0,1.49,1
INV-100058,TechNova,30NCFAC9255GHZI,Maintenance,Cheque,75277.88,13550.02,15,2026-03-11 12:15:35.168565,2026-03-26 12:15:35.168565,62,0,1,0,0,1.0,0
INV-100059,Skyline Pvt Ltd,29NZPRY8383JKZT,Electronics,Cheque,27336.24,4920.52,45,2026-02-13 12:15:35.168574,2026-03-30 12:15:35.168574,48,0,1,0,0,0.78,0
INV-100060,XYZ Solutions,25VALTL7809P3ZP,Consulting,Cheque,67418.97,12135.41,15,2026-04-25 12:15:35.168584,2026-05-10 12:15:35.168584,78,0,1,0,0,3.24,1
INV-100061,Future Innovations,13HIEIL3729OMZH,Hardware,Bank Transfer,79977.38,14395.93,45,2025-11-20 12:15:35.168596,2026-01-04 12:15:35.168596,77,0,1,0,0,1.11,0
INV-100062,Bluechip Enterprises,34DXLJX9087KKZO,Hardware,Cheque,2590.96,466.37,15,2026-04-21 12:15:35.168606,2026-05-06 12:15:35.168606,31,0,1,0,0,1.37,0
INV-100063,Global Traders,24ZDITD8174ZSZP,Maintenance,UPI,6925.78,1246.64,15,2026-01-29 12:15:35.168616,2026-02-13 12:15:35.168616,63,0,1,0,0,0.64,0
INV-100064,TechNova,30NDWFI0350RIZF,Software,Cheque,95751.44,17235.26,15,2026-05-05 12:15:35.168626,2026-05-20 12:15:35.168626,72,0,1,0,0,0.51,0
INV-100065,XYZ Solutions,22LCNQT7185JSZ9,Software,Credit Card,48000.7,8640.13,30,2026-01-30 12:15:35.168637,2026-03-01 12:15:35.168637,84,0,1,0,0,1.47,0
INV-100066,Future Innovations,10MGHDO8728ZHZR,Electronics,Credit Card,67291.31,12112.44,45,2025-09-06 12:15:35.168646,2025-10-21 12:15:35.168646,43,0,1,0,0,0.9,0
INV-100067,Future Innovations,14DWUKI5899XWZU,Maintenance,Cheque,42897.76,7721.6,15,2025-08-06 12:15:35.168655,2025-08-21 12:15:35.168655,80,0,1,0,0,0.65,0
INV-100068,TechNova,11XVVTY9418FXZH,Maintenance,UPI,92091.37,18821.88,15,2026-04-23 12:15:35.168664,2026-05-08 12:15:35.168664,7,0,1,1,0,1.39,1
INV-100069,Skyline Pvt Ltd,23FXUUE4574ITZN,Consulting,Cheque,18573.72,3343.27,30,2025-07-05 12:15:35.168675,2025-08-04 12:15:35.168675,75,0,1,0,0,0.8,0
INV-100070,Future Innovations,20DMBZU5243KNZD,Maintenance,Credit Card,92315.76,16616.84,60,2025-12-20 12:15:35.168728,2026-02-18 12:15:35.168728,90,0,1,0,0,0.54,0
INV-100071,Apex Supplies,12345,Electronics,Bank Transfer,65181.2,11732.62,15,2026-06-19 12:15:35.168752,2026-07-04 12:15:35.168752,94,0,0,0,0,0.74,1
INV-100072,Vertex Systems,20HTVZM7700QLZ9,Maintenance,Credit Card,57894.18,10420.95,15,2025-09-18 12:15:35.168766,2025-10-03 12:15:35.168766,84,0,1,0,0,0.84,0
INV-100073,XYZ Solutions,13LBRMD6275IAZF,Electronics,Cheque,41429.52,7457.31,60,2025-12-09 12:15:35.168776,2026-02-07 12:15:35.168776,81,1,1,0,0,0.58,1
INV-100074,XYZ Solutions,17TQCPN9023MVZF,Hardware,Cheque,7586.29,1365.53,60,2026-06-14 12:15:35.168789,2026-08-13 12:15:35.168789,95,0,1,0,0,1.45,0
INV-100075,XYZ Solutions,11HOIKW7726PEZB,Software,Bank Transfer,95472.61,45420.8,60,2026-05-26 12:15:35.168799,2026-07-25 12:15:35.168799,12,0,1,1,0,0.99,1
INV-100076,Apex Supplies,25ZJCXS7866CHZY,Consulting,UPI,86317.53,15537.16,60,2025-07-05 12:15:35.168811,2025-09-03 12:15:35.168811,94,1,1,0,0,0.74,1
INV-100077,XYZ Solutions,11HWWAV5519DXZD,Hardware,Credit Card,87827.4,15808.93,30,2025-11-29 12:15:35.168822,2025-12-29 12:15:35.168822,61,1,1,0,0,0.62,1
INV-100078,Global Traders,12345,Hardware,UPI,9687.95,1743.83,45,2025-08-26 12:15:35.168832,2025-10-10 12:15:35.168832,61,0,0,0,0,0.51,1
INV-100079,Skyline Pvt Ltd,15VEIER4743VTZB,Hardware,Credit Card,27971.22,5034.82,30,2025-11-07 12:15:35.168843,2025-12-07 12:15:35.168843,44,0,1,0,0,0.69,0
INV-100080,Skyline Pvt Ltd,22EHNPV1631NSZR,Software,UPI,65880.42,11858.48,30,2025-07-05 12:15:35.168852,2025-08-04 12:15:35.168852,37,0,1,0,0,0.54,0
INV-100081,ABC Technologies,24GCGAG8386RGZA,Maintenance,Bank Transfer,28888.84,5199.99,45,2026-04-29 12:15:35.168861,2026-06-13 12:15:35.168861,46,0,1,0,0,0.7,0
INV-100082,ABC Technologies,13FWDEE4890DAZS,Consulting,Cheque,6265.71,1127.83,30,2025-08-24 12:15:35.168871,2025-09-23 12:15:35.168871,58,0,1,0,0,0.77,0
INV-100083,Vertex Systems,16JLZPK4070V2Z8,Consulting,UPI,59072.78,10633.1,60,2025-08-17 12:15:35.168880,2025-10-16 12:15:35.168880,63,0,1,0,0,0.67,0
INV-100084,Skyline Pvt Ltd,36OZQGS5609OXZP,Electronics,UPI,56193.61,10114.85,15,2026-05-08 12:15:35.168890,2026-05-23 12:15:35.168890,5,0,1,0,0,1.31,0
INV-100085,Global Traders,11XVKVW9718GKZK,Maintenance,Cheque,30852.52,5553.45,45,2026-05-19 12:15:35.168902,2026-07-03 12:15:35.168902,9,0,1,0,0,0.98,0
INV-100086,Bluechip Enterprises,13JTZXZ2811U8ZW,Consulting,UPI,52860.48,9514.89,30,2025-11-27 12:15:35.168911,2025-12-27 12:15:35.168911,10,0,1,0,0,0.66,0
INV-100087,Bluechip Enterprises,30HKQPU7060Q3ZS,Maintenance,Bank Transfer,34902.71,6282.49,30,2025-08-30 12:15:35.168921,2025-09-29 12:15:35.168921,25,0,1,0,0,1.32,0
INV-100088,Future Innovations,12CHTJM5391RVZV,Hardware,Bank Transfer,25098.15,4517.67,60,2025-12-12 12:15:35.168931,2026-02-10 12:15:35.168931,84,1,1,0,0,0.53,1
INV-100089,Prime Electronics,21IVWBK4859W6ZX,Maintenance,Bank Transfer,46005.15,8280.93,60,2025-10-31 12:15:35.168979,2025-12-30 12:15:35.168979,99,0,1,0,0,0.9,0
INV-100090,Vertex Systems,20WAECJ9012GPZN,Software,Cheque,36041.13,6487.4,30,2025-10-01 12:15:35.169011,2025-10-31 12:15:35.169011,62,0,1,0,0,7.37,1
INV-100091,Apex Supplies,19SEABE6837TAZL,Hardware,Credit Card,9333.57,692.71,15,2025-07-20 12:15:35.169027,2025-08-04 12:15:35.169027,98,0,1,1,0,0.75,1
INV-100092,Future Innovations,28EYEQM4834RWZ8,Consulting,Credit Card,6833.34,1230.0,45,2026-06-20 12:15:35.169040,2026-08-04 12:15:35.169040,36,0,1,0,0,1.43,0
INV-100093,Global Traders,14XLNGF5349DHZY,Consulting,Credit Card,61317.85,11037.21,60,2025-07-29 12:15:35.169052,2025-09-27 12:15:35.169052,61,0,1,0,0,1.04,0
INV-100094,Prime Electronics,14ZZCJW7850W5ZD,Consulting,UPI,75583.54,13605.04,15,2025-09-09 12:15:35.169062,2025-09-24 12:15:35.169062,14,0,1,0,0,5.58,1
INV-100095,Apex Supplies,14CSFBO8888RSZT,Hardware,Cheque,15050.46,2709.08,30,2026-04-22 12:15:35.169073,2026-05-22 12:15:35.169073,76,0,1,0,0,0.64,0
INV-100096,Skyline Pvt Ltd,22HZEXI4530W2Z6,Hardware,Credit Card,69874.33,12577.38,60,2026-02-02 12:15:35.169083,2026-04-03 12:15:35.169083,65,0,1,0,0,1.11,0
INV-100097,Skyline Pvt Ltd,17IXZHF1848P9ZW,Software,Credit Card,14095.91,2537.26,30,2026-04-02 12:15:35.169093,2026-05-02 12:15:35.169093,93,0,1,0,0,1.13,0
INV-100098,Apex Supplies,25TYRXD5314XSZR,Maintenance,UPI,29880.36,5378.46,45,2025-12-01 12:15:35.169103,2025-11-09 12:15:35.169103,76,0,1,0,1,0.62,1
INV-100099,ABC Technologies,18VDNKL9945JXZZ,Maintenance,UPI,48538.24,8736.88,15,2026-03-18 12:15:35.169119,2026-02-19 12:15:35.169119,57,0,1,0,1,1.12,1
INV-100100,XYZ Solutions,37IPSKJ3400ZPZM,Hardware,Bank Transfer,73311.05,13195.99,45,2025-10-18 12:15:35.169131,2025-12-02 12:15:35.169131,12,0,1,0,0,4.93,1
INV-100101,Prime Electronics,34TTKWD3743K1ZY,Hardware,Credit Card,93553.43,16839.62,15,2025-11-09 12:15:35.169142,2025-11-24 12:15:35.169142,93,0,1,0,0,1.12,0
INV-100102,Prime Electronics,24SWNLK1980B2ZW,Hardware,Credit Card,35688.59,6423.95,45,2025-06-29 12:15:35.169151,2025-08-13 12:15:35.169151,65,0,1,0,0,1.15,0
INV-100103,Apex Supplies,34KCNQO1066LXZO,Electronics,Bank Transfer,70614.44,12710.6,15,2025-08-09 12:15:35.169161,2025-08-24 12:15:35.169161,20,0,1,0,0,0.58,0
INV-100104,Skyline Pvt Ltd,10DCRXE2567DTZC,Maintenance,Bank Transfer,74397.47,13391.54,15,2025-09-07 12:15:35.169173,2025-09-22 12:15:35.169173,62,0,1,0,0,0.54,0
INV-100105,Global Traders,29WNWDP2014BJZ5,Consulting,UPI,59760.45,10756.88,60,2025-11-24 12:15:35.169183,2026-01-23 12:15:35.169183,65,0,1,0,0,0.61,0
INV-100106,Bluechip Enterprises,26GTCNQ4199PGZF,Consulting,Bank Transfer,75233.33,13542.0,45,2026-02-23 12:15:35.169200,2026-04-09 12:15:35.169200,65,0,1,0,0,0.53,0
INV-100107,Future Innovations,18HRLVU4169TFZ6,Electronics,Credit Card,66628.74,11993.17,45,2025-09-12 12:15:35.169214,2025-10-27 12:15:35.169214,37,0,1,0,0,5.53,1
INV-100108,Global Traders,13DDCQA5953LUZZ,Maintenance,Bank Transfer,22577.49,4063.95,15,2026-04-30 12:15:35.169225,2026-05-15 12:15:35.169225,8,0,1,0,0,7.46,1
INV-100109,Bluechip Enterprises,29DYEAZ5036Y4ZB,Maintenance,UPI,70982.77,12776.9,60,2025-11-04 12:15:35.169237,2026-01-03 12:15:35.169237,62,0,1,0,0,2.16,1
INV-100110,Bluechip Enterprises,24SMPLC0936CDZF,Consulting,Credit Card,98950.41,17811.07,30,2026-06-20 12:15:35.169249,2026-07-20 12:15:35.169249,9,0,1,0,0,1.28,0
INV-100111,Future Innovations,21GCCDR6275CQZF,Software,Cheque,19779.64,7266.07,45,2026-04-22 12:15:35.169258,2026-06-06 12:15:35.169258,5,0,1,1,0,1.02,1
INV-100112,Prime Electronics,37FHHYF8221G9Z8,Consulting,Cheque,67199.57,12095.92,60,2025-07-12 12:15:35.169268,2025-09-10 12:15:35.169268,82,0,1,0,0,0.85,0
INV-100113,Apex Supplies,17GQJFC8313IWZS,Consulting,UPI,14565.85,2621.85,15,2025-10-12 12:15:35.169277,2025-10-27 12:15:35.169277,88,0,1,0,0,0.88,0
INV-100114,Bluechip Enterprises,27SJRXT6983QIZN,Software,Credit Card,33884.21,6099.16,60,2025-09-18 12:15:35.169287,2025-08-28 12:15:35.169287,94,0,1,0,1,0.69,1
INV-100115,Global Traders,19QLNPP2704X2ZE,Consulting,UPI,25005.5,4500.99,15,2026-01-11 12:15:35.169298,2026-01-26 12:15:35.169298,67,0,1,0,0,1.0,0
INV-100116,Bluechip Enterprises,34YXZCQ4998MPZ9,Maintenance,UPI,53808.99,9685.62,15,2026-05-20 12:15:35.169312,2026-06-04 12:15:35.169312,55,0,1,0,0,0.79,0
INV-100117,Skyline Pvt Ltd,10EGHYV7440AGZV,Software,UPI,98259.81,17686.77,60,2026-04-12 12:15:35.169326,2026-06-11 12:15:35.169326,56,0,1,0,0,2.51,1
INV-100118,Vertex Systems,11TRMIJ4513SKZ5,Electronics,UPI,21612.6,3890.27,60,2026-03-11 12:15:35.169337,2026-05-10 12:15:35.169337,65,0,1,0,0,1.2,0
INV-100119,Prime Electronics,21IEJTB5192MHZR,Software,Credit Card,59283.67,10671.06,60,2025-11-12 12:15:35.169347,2026-01-11 12:15:35.169347,84,0,1,0,0,0.95,0
INV-100120,Global Traders,32OFKML7048TDZW,Electronics,Bank Transfer,46983.97,8457.11,15,2025-11-20 12:15:35.169357,2025-10-31 12:15:35.169357,76,0,1,0,1,1.08,1
INV-100121,Bluechip Enterprises,15IAGIA3932PUZE,Maintenance,Credit Card,65306.14,11755.11,60,2026-04-10 12:15:35.169369,2026-06-09 12:15:35.169369,29,0,1,0,0,0.69,0
INV-100122,Future Innovations,37WQCRI6889THZ7,Hardware,Bank Transfer,79635.86,14334.45,30,2025-07-22 12:15:35.169378,2025-08-21 12:15:35.169378,65,0,1,0,0,1.09,0
INV-100123,Apex Supplies,10OLFIB5791VLZS,Software,Bank Transfer,69924.97,12586.49,30,2026-05-13 12:15:35.169389,2026-06-12 12:15:35.169389,57,0,1,0,0,0.97,0
INV-100124,Future Innovations,17XWCDU1977POZ2,Consulting,Cheque,31096.31,5597.34,30,2026-03-06 12:15:35.169399,2026-04-05 12:15:35.169399,54,0,1,0,0,6.52,1
INV-100125,Skyline Pvt Ltd,22XNQID6326O3Z3,Maintenance,UPI,23579.57,4244.32,60,2025-07-13 12:15:35.169409,2025-09-11 12:15:35.169409,39,0,1,0,0,0.78,0
INV-100126,Skyline Pvt Ltd,27YTYUV0964SBZ8,Maintenance,Cheque,87049.25,15668.86,45,2025-12-03 12:15:35.169420,2026-01-17 12:15:35.169420,62,0,1,0,0,1.29,0
INV-100127,Vertex Systems,35QCIEC7507Y4Z5,Consulting,UPI,79158.23,14248.48,15,2025-12-19 12:15:35.169431,2026-01-03 12:15:35.169431,27,0,1,0,0,0.62,0
INV-100128,Skyline Pvt Ltd,21NTMCT7010JQZT,Hardware,UPI,33662.35,6059.22,15,2025-08-02 12:15:35.169442,2025-08-17 12:15:35.169442,40,0,1,0,0,1.1,0
INV-100129,Global Traders,32NSCIC9146RCZK,Consulting,Bank Transfer,69346.23,12482.32,15,2025-07-13 12:15:35.169452,2025-07-28 12:15:35.169452,28,0,1,0,0,1.04,0
INV-100130,Future Innovations,18JNSKO9552KCZY,Hardware,Cheque,89926.32,16186.74,45,2026-05-29 12:15:35.169461,2026-07-13 12:15:35.169461,15,0,1,0,0,0.8,0
INV-100131,Vertex Systems,32FBPTT0153M7ZV,Consulting,UPI,41356.52,7444.17,15,2025-07-07 12:15:35.169470,2025-07-22 12:15:35.169470,90,0,1,0,0,3.5,1
INV-100132,Prime Electronics,28TJMPS8373M9Z4,Maintenance,Bank Transfer,75007.34,13501.32,60,2025-10-18 12:15:35.169481,2025-12-17 12:15:35.169481,56,0,1,0,0,0.69,0
INV-100133,ABC Technologies,27UQJNO8881H5ZW,Hardware,Cheque,78268.74,14088.37,30,2026-02-18 12:15:35.169490,2026-03-20 12:15:35.169490,42,0,1,0,0,1.25,0
INV-100134,ABC Technologies,26YYSRT9511HDZB,Maintenance,Bank Transfer,13288.34,2391.9,15,2026-02-14 12:15:35.169502,2026-03-01 12:15:35.169502,78,0,1,0,0,0.57,0
INV-100135,XYZ Solutions,25VOAAD4613HWZ3,Software,UPI,37071.78,6672.92,60,2026-02-20 12:15:35.169511,2026-04-21 12:15:35.169511,76,0,1,0,0,1.4,0
INV-100136,Global Traders,13ZZXTY1205MXZP,Software,Credit Card,92548.82,16658.79,15,2026-01-20 12:15:35.169521,2026-02-04 12:15:35.169521,67,0,1,0,0,1.47,0
INV-100137,Vertex Systems,15VFZBE9521XZZ9,Maintenance,Cheque,1932.71,347.89,60,2025-08-11 12:15:35.169530,2025-10-10 12:15:35.169530,76,0,1,0,0,1.15,0
INV-100138,Global Traders,25LFFEP3984CJZT,Consulting,Cheque,97003.08,17460.55,45,2026-02-14 12:15:35.169539,2026-03-31 12:15:35.169539,16,0,1,0,0,0.74,0
INV-100139,Apex Supplies,18DWTCM8989DGZP,Maintenance,Credit Card,21315.43,3836.78,30,2025-09-07 12:15:35.169549,2025-10-07 12:15:35.169549,18,0,1,0,0,5.23,1
