invoice_number,purchase_order,vendor_id,vendor_name,gst_number,category,country,state,currency,invoice_amount,gst_percentage,tax_amount,discount_percent,discount_amount,subtotal,total_amount,payment_method,payment_terms,payment_status,invoice_date,due_date,invoice_description,vendor_frequency,vendor_risk,blacklisted,duplicate_invoice,duplicate_po,gst_valid,tax_mismatch,date_anomaly,amount_anomaly,payment_anomaly,vendor_mismatch,currency_mismatch,risk_score,fraud
INV-2026-000011,PO-2026-000011,VEN1079,ABC Services,27FHAVA5070RQZZ,Office Supplies,India,MH,INR,16809.29,12,2017.11,10,1680.93,15128.36,17145.47,Cheque,15,Pending,2026-06-24,2026-07-09,Network Switch Installation,34,High,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000012,PO-2026-000012,VEN1068,Unknown Vendor,08DYFMB3906CFZC,Software,India,RJ,INR,52000.57,18,9360.1,5,2600.03,49400.54,58760.64,NEFT,15,Overdue,2025-08-23,2025-09-07,Office Furniture Purchase,125,Low,False,0,0,1,0,0,0,0,1,0,0,0
INV-2026-000013,PO-2026-000013,VEN1019,Zenith Solutions,36EHUCM1069QSZP,Office Supplies,India,TS,INR,10324.93,12,1238.99,0,0.0,10324.93,11563.92,Cheque,45,Processing,2026-01-01,2026-02-15,Software License Renewal,143,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000014,PO-2026-000014,VEN1055,Prime Solutions,33MMJXD2796HUZL,Consulting,India,TN,INR,230763.64,18,41537.46,5,11538.18,219225.46,260762.92,Bank Transfer,30,Overdue,2026-06-13,2026-07-13,Software License Renewal,5,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000015,PO-2026-000015,VEN1050,Prime Software,19OVPOL1587RSZD,Consulting,India,WB,INR,58002.05,18,10440.37,5,2900.1,55101.95,65542.32,NEFT,60,Pending,2025-10-31,2025-12-30,Software License Renewal,146,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000016,PO-2026-000016,VEN1077,Sigma Software,27KYTTJ3925GFZJ,Networking,India,MH,INR,57359.73,18,10324.75,0,0.0,57359.73,67684.48,NEFT,15,Pending,2025-12-25,2026-01-09,Firewall Installation,112,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000017,PO-2026-000017,VEN1074,Prime Networks,19ECCYD6459RYZR,Software,India,WB,INR,41861.35,18,7535.04,0,0.0,41861.35,49396.39,RTGS,45,Overdue,2025-07-14,2025-08-28,Network Switch Installation,106,Low,True,0,0,1,0,0,0,0,0,0,0,0
INV-2026-001146,PO-2026-007332,VEN1034,Bluechip Private Limited,19DDWYH3928GRZS,Hardware,India,WB,INR,1470482.45,18,109881.2,0,0.0,311200.92,367217.09,Cheque,30,Paid,2025-09-09,2025-10-09,IT Infrastructure Upgrade,69,Low,False,1,1,1,1,0,1,0,0,0,90,1
INV-2026-000019,PO-2026-000019,VEN1081,Nova Corporation,19AEGON5700M6Z7,Cloud Services,India,WB,INR,47945.61,18,8630.21,5,2397.28,45548.33,54178.54,Cheque,15,Pending,2025-12-31,2026-01-15,Business Analytics Consulting,93,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000020,PO-2026-000020,VEN1046,Bluechip Technologies,INVALIDGST,Electronics,India,RJ,INR,25642.47,28,7179.89,5,1282.12,24360.35,31540.24,NEFT,30,Pending,2025-10-18,2025-11-17,Cyber Security Audit,148,Low,False,0,0,0,0,0,0,0,0,0,25,0
INV-2026-000021,PO-2026-001539,VEN1094,Unknown Vendor,INVALIDGST,Office Supplies,India,TN,INR,30245.16,12,1120.08,10,3024.52,27220.64,30850.06,NEFT,60,Processing,2025-08-27,2025-10-26,Cloud Storage Expansion,41,Low,False,0,1,0,1,0,0,0,1,0,65,0
INV-2026-000022,PO-2026-000022,VEN1069,Vertex Corporation,07LHRNK4158FSZL,Consulting,India,DL,INR,147554.44,18,26559.8,0,0.0,147554.44,174114.24,NEFT,30,Processing,2025-09-19,2025-10-19,Cyber Security Audit,113,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000023,PO-2026-000023,VEN1057,Skyline Technologies,19WISHG7936KXZA,Networking,India,WB,INR,131336.06,18,23640.49,10,13133.61,118202.45,141842.94,RTGS,60,Pending,2026-01-21,2026-03-22,Server Upgrade,149,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000024,PO-2026-000024,VEN1067,Quantum Software,36WZMDQ0977J1ZC,Consulting,India,TS,INR,52384.52,18,9429.21,0,0.0,52384.52,61813.73,RTGS,30,Processing,2025-12-20,2026-01-19,Business Analytics Consulting,100,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000025,PO-2026-000025,VEN1091,Nova Private Limited,36PRVVT5834J1ZO,Networking,India,TS,INR,105748.16,18,19034.67,10,10574.82,95173.34,114208.01,RTGS,45,Paid,2025-12-01,2026-01-15,Cyber Security Audit,80,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000026,PO-2026-000026,VEN1050,Prime Software,19OVPOL1587RSZD,Consulting,India,WB,INR,60471.61,18,10884.89,10,6047.16,54424.45,65309.34,NEFT,45,Processing,2026-04-01,2026-05-16,Firewall Installation,146,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000027,PO-2026-000027,VEN1008,Bluechip Electronics,19GPPXD3824VWZ6,Hardware,India,WB,INR,245731.25,18,44231.62,5,12286.56,233444.69,277676.31,NEFT,30,Paid,2025-07-10,2025-08-09,Cloud Infrastructure Subscription,129,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000028,PO-2026-000028,VEN1025,Nova Consulting,08KYUQK9985WOZU,Consulting,India,RJ,INR,176920.13,18,31845.62,0,0.0,176920.13,208765.75,UPI,60,Pending,2026-01-28,2026-03-29,Server Upgrade,72,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000029,PO-2026-000029,VEN1006,Global Electronics,08NTUQU7662LLZA,Electronics,India,RJ,INR,104285.15,28,29199.84,0,0.0,104285.15,133484.99,UPI,30,Processing,2026-05-30,2026-06-29,Office Furniture Purchase,110,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000030,PO-2026-000030,VEN1071,Prime Private Limited,08JSTUJ1844I6ZR,Consulting,India,RJ,INR,111668.01,18,20100.24,10,11166.8,100501.21,120601.45,Bank Transfer,60,Paid,2025-11-07,2026-01-06,Database Consulting,60,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000031,PO-2026-000031,VEN1034,Bluechip Private Limited,19DDWYH3928GRZS,Hardware,India,WB,INR,207943.8,18,37429.88,0,0.0,207943.8,245373.68,Cheque,45,Processing,2026-05-08,2026-06-22,Office Furniture Purchase,69,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-002170,PO-2026-000032,VEN1073,Apex Industries,08HMCXX7599HYZ9,Hardware,India,RJ,INR,195065.8,18,28234.12,5,9753.29,185312.51,220424.35,Cheque,30,Paid,2026-04-28,2026-05-28,Business Analytics Consulting,17,Low,False,1,0,1,1,0,0,0,0,0,50,0
INV-2026-000033,PO-2026-000033,VEN1069,Vertex Corporation,07LHRNK4158FSZL,Consulting,India,DL,INR,157461.28,18,28343.03,10,15746.13,141715.15,170058.18,NEFT,30,Overdue,2026-05-17,2026-06-16,IT Infrastructure Upgrade,113,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000034,PO-2026-000034,VEN1096,ABC Technologies,27PYYMI5544SBZS,Software,India,MH,EUR,93654.1,18,5227.1,10,2903.95,26135.51,31362.61,UPI,45,Overdue,2026-01-08,2026-02-22,Business Analytics Consulting,95,Low,False,0,0,1,0,0,1,0,0,1,20,0
INV-2026-000035,PO-2026-000035,VEN1042,Sigma Private Limited,24SPHQM4950W7ZT,Hardware,India,GJ,INR,117195.02,18,21095.1,5,5859.75,111335.27,132430.37,UPI,30,Overdue,2025-08-17,2025-09-16,Cyber Security Audit,133,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000036,PO-2026-000036,VEN1092,Skyline Software,19LHLPZ4729E6ZM,Electronics,India,WB,INR,29656.03,28,8303.69,5,1482.8,28173.23,36476.92,Cheque,60,Paid,2026-02-26,2026-04-27,Desktop Computer Purchase,126,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000037,PO-2026-000037,VEN1094,Vertex Consulting,33XMGME1305LNZA,Office Supplies,India,TN,INR,21540.84,12,2584.9,10,2154.08,19386.76,21971.66,NEFT,45,Pending,2026-02-16,2026-04-02,Cyber Security Audit,41,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000038,PO-2026-000038,VEN1081,Nova Corporation,19AEGON5700M6Z7,Cloud Services,India,WB,INR,54585.07,18,9825.31,5,2729.25,51855.82,61681.13,Cheque,60,Overdue,2025-09-04,2025-11-03,Software License Renewal,93,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000039,PO-2026-000039,VEN1022,Skyline Systems,08BGOOI3744QZZV,Cloud Services,India,RJ,INR,73376.9,18,13207.84,5,3668.84,69708.06,82915.9,Bank Transfer,45,Processing,2025-12-15,2026-01-29,Office Furniture Purchase,46,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000040,PO-2026-000040,VEN1044,Bluechip Solutions,33FGXVE2142LWZW,Software,India,TN,INR,51957.52,18,9352.35,0,0.0,51957.52,61309.87,Bank Transfer,15,Pending,2025-12-25,2025-12-24,Network Switch Installation,128,Low,False,0,0,1,0,1,0,0,0,0,15,0
INV-2026-000041,PO-2026-000041,VEN1088,Quantum Solutions,08KEYYO4388SEZE,Software,India,RJ,INR,55962.03,18,10073.17,0,0.0,55962.03,66035.2,Cheque,45,Pending,2025-10-07,2025-11-21,Software License Renewal,88,High,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000042,PO-2026-000042,VEN1093,Unknown Vendor,29RXJXL8054I8Z2,Cloud Services,India,KA,INR,57068.4,18,10272.31,5,2853.42,54214.98,64487.29,Cheque,30,Processing,2026-04-12,2026-05-12,Cyber Security Audit,80,Medium,False,0,0,1,0,0,0,0,1,0,0,0
INV-2026-000043,PO-2026-000043,VEN1046,Bluechip Technologies,08MQJPC5354YVZT,Electronics,India,RJ,INR,19868.6,28,5563.21,10,1986.86,17881.74,23444.95,NEFT,15,Paid,2025-11-17,2025-12-02,Cyber Security Audit,148,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000044,PO-2026-004602,VEN1007,Vision Private Limited,08SUIKN7426R6ZM,Maintenance,India,RJ,INR,47135.81,18,8484.45,5,2356.79,44779.02,53263.47,NEFT,15,Failed,2026-03-03,2026-03-18,Cloud Storage Expansion,139,Low,False,0,1,1,0,0,0,1,0,0,35,0
INV-2026-001884,PO-2026-000045,VEN1040,Quantum Consulting,33NJZSC7551X9Z8,Office Supplies,India,TN,INR,43279.84,12,5193.58,0,0.0,43279.84,48473.42,UPI,30,Pending,2025-12-19,2026-01-18,Software License Renewal,74,Low,False,1,0,1,0,0,0,0,0,0,30,0
INV-2026-000046,PO-2026-000046,VEN1012,Vision Software,27YEIEX0493VBZ5,Networking,India,MH,INR,93811.44,18,16886.06,0,0.0,93811.44,110697.5,Cheque,60,Pending,2026-06-05,2026-08-04,Business Analytics Consulting,111,High,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-003199,PO-2026-000047,VEN1040,Unknown Vendor,33NJZSC7551X9Z8,Office Supplies,India,TN,INR,225230.6,12,5893.11,10,4910.93,44198.35,50091.46,UPI,45,Overdue,2025-09-18,2025-11-02,Server Upgrade,74,Low,False,1,0,1,0,0,1,0,1,0,50,0
INV-2026-000048,PO-2026-000048,VEN1043,Bluechip Industries,27OCDXD6013QCZ2,Office Supplies,India,MH,INR,38847.29,12,4661.67,0,0.0,38847.29,43508.96,NEFT,45,Processing,2026-01-13,2026-02-27,Business Analytics Consulting,44,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000049,PO-2026-000049,VEN1001,ABC Software,27TGNMH8774S3ZS,Software,India,MH,INR,66978.54,18,12056.14,0,0.0,66978.54,79034.68,UPI,15,Pending,2026-01-06,2026-01-21,Business Analytics Consulting,87,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000050,PO-2026-000050,VEN1000,Future Networks,33UBSDD5851HRZW,Networking,India,TN,INR,132964.79,18,23933.66,0,0.0,132964.79,156898.45,NEFT,45,Overdue,2025-07-15,2025-08-29,Office Furniture Purchase,110,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-006557,PO-2026-006214,VEN1085,Alpha Networks,19RIMMZ4392DJZ8,Maintenance,India,WB,INR,33996.15,18,6119.31,0,0.0,33996.15,40115.46,Bank Transfer,15,Failed,2025-08-16,2025-08-31,Cloud Infrastructure Subscription,146,Medium,False,1,1,1,0,0,0,1,0,0,65,0
INV-2026-000052,PO-2026-000052,VEN1037,Vertex Industries,36LWHXI7363K2ZE,Hardware,India,TS,INR,140922.78,18,25366.1,5,7046.14,133876.64,159242.74,NEFT,30,Overdue,2025-12-14,2026-01-13,Annual Maintenance Contract,146,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000053,PO-2026-000053,VEN1057,Skyline Technologies,19WISHG7936KXZA,Networking,India,WB,INR,125517.36,18,22593.12,10,12551.74,112965.62,135558.74,RTGS,15,Pending,2026-02-14,2026-03-01,Cloud Infrastructure Subscription,149,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000054,PO-2026-000054,VEN1041,Tech Systems,36XOQRC5859VQZ8,Networking,India,TS,INR,147317.14,18,26517.09,0,0.0,147317.14,173834.23,UPI,45,Paid,2026-01-16,2026-03-02,Printer Cartridge Supply,135,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000055,PO-2026-000055,VEN1087,Alpha Solutions,29YOFEC1972Q4Z9,Cloud Services,India,KA,INR,75117.42,18,13521.14,0,0.0,75117.42,88638.56,UPI,30,Paid,2025-09-13,2025-10-13,Cloud Infrastructure Subscription,80,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000056,PO-2026-000056,VEN1096,ABC Technologies,27PYYMI5544SBZS,Software,India,MH,INR,32262.01,18,5807.16,0,0.0,32262.01,38069.17,UPI,45,Paid,2026-05-03,2026-06-17,Server Upgrade,95,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000057,PO-2026-000057,VEN1099,Unknown Vendor,08ZOQPM6365JAZK,Hardware,India,RJ,INR,265537.55,18,47796.76,5,13276.88,252260.67,300057.43,RTGS,15,Overdue,2026-03-20,2026-04-04,Business Analytics Consulting,59,Low,False,0,0,1,0,0,0,0,1,0,0,0
INV-2026-000058,PO-2026-000058,VEN1036,Skyline Private Limited,INVALIDGST,Hardware,India,TN,INR,238538.25,18,42936.89,10,23853.83,214684.42,257621.31,RTGS,60,Pending,2026-05-23,2026-07-22,Cyber Security Audit,121,Low,False,0,0,0,0,0,0,0,0,0,25,0
INV-2026-000059,PO-2026-000059,VEN1080,Skyline Electronics,19NJTHC4553O3Z3,Cloud Services,India,WB,INR,52665.19,18,9479.73,0,0.0,52665.19,62144.92,Cheque,30,Processing,2026-03-01,2026-03-31,Annual Maintenance Contract,87,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000060,PO-2026-000060,VEN1031,Apex Electronics,08UZATU0993MOZN,Consulting,India,RJ,INR,67459.72,18,12142.75,10,6745.97,60713.75,72856.5,Bank Transfer,45,Processing,2025-12-29,2026-02-12,Printer Cartridge Supply,73,High,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-005065,PO-2026-003536,VEN1013,Quantum Private Limited,08ZZFGT5816FTZQ,Office Supplies,India,RJ,INR,35518.8,12,4262.26,0,0.0,35518.8,39781.06,UPI,15,Processing,2025-09-01,2025-09-16,Cyber Security Audit,32,Medium,False,1,1,1,0,0,0,0,0,0,50,0
INV-2026-000062,PO-2026-000062,VEN1028,Bluechip Consulting,08EHVXE8524XGZP,Maintenance,India,RJ,INR,50482.32,18,9086.82,0,0.0,50482.32,59569.14,RTGS,30,Processing,2026-01-18,2026-02-17,Annual Maintenance Contract,94,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-005745,PO-2026-000063,VEN1025,Nova Consulting,08KYUQK9985WOZU,Consulting,India,RJ,INR,133457.35,18,24022.32,5,6672.87,126784.48,150806.8,UPI,60,Processing,2026-02-12,2026-02-01,Cyber Security Audit,72,Medium,False,1,0,1,0,1,0,0,0,0,45,0
INV-2026-000064,PO-2026-000064,VEN1008,Bluechip Electronics,19GPPXD3824VWZ6,Hardware,India,WB,INR,206601.14,18,37188.21,5,10330.06,196271.08,233459.29,NEFT,60,Overdue,2026-06-23,2026-08-22,Firewall Installation,129,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000065,PO-2026-000065,VEN1019,Zenith Solutions,36EHUCM1069QSZP,Office Supplies,India,TS,INR,8454.16,12,1014.5,5,422.71,8031.45,9045.95,Cheque,45,Pending,2026-04-17,2026-06-01,Database Consulting,143,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000066,PO-2026-000066,VEN1068,Sigma Consulting,08DYFMB3906CFZC,Software,India,RJ,INR,49711.91,18,8948.14,5,2485.6,47226.31,56174.45,NEFT,45,Paid,2026-02-03,2026-03-20,Server Upgrade,125,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000067,PO-2026-000067,VEN1065,Apex Enterprises,07MFZWQ7205URZJ,Office Supplies,India,DL,INR,11170.42,12,1340.45,10,1117.04,10053.38,11393.83,NEFT,45,Paid,2026-01-07,2026-02-21,Laptop Procurement,68,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000068,PO-2026-000068,VEN1084,Tech Private Limited,19KMOTL3101WNZP,Maintenance,India,WB,INR,25004.5,18,4500.81,0,0.0,25004.5,29505.31,NEFT,45,Overdue,2025-12-31,2026-02-14,Cloud Storage Expansion,105,High,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000069,PO-2026-001175,VEN1070,Delta Services,INVALIDGST,Consulting,India,MH,INR,397186.42,18,43933.31,10,16378.46,147406.14,176887.37,NEFT,45,Overdue,2025-09-11,2025-10-26,Software License Renewal,144,Medium,False,0,1,0,1,0,1,0,0,0,85,1
INV-2026-000070,PO-2026-000070,VEN1011,Apex Consulting,07PBPPU2079O4ZS,Hardware,India,DL,INR,192862.44,18,34715.24,0,0.0,192862.44,227577.68,NEFT,15,Paid,2025-08-18,2025-09-02,Network Switch Installation,130,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000223,PO-2026-000071,VEN1070,Delta Services,INVALIDGST,Consulting,India,MH,INR,725438.55,18,27703.34,0,0.0,153907.45,181610.79,NEFT,45,Paid,2025-07-22,2025-09-05,Office Furniture Purchase,144,Medium,False,1,0,0,0,0,1,0,0,0,75,1
INV-2026-000072,PO-2026-000072,VEN1068,Sigma Consulting,08DYFMB3906CFZC,Software,India,RJ,INR,49221.93,18,8859.95,10,4922.19,44299.74,53159.69,NEFT,15,Processing,2025-09-27,2025-10-12,Cyber Security Audit,125,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-005932,PO-2026-000073,VEN1006,Global Electronics,08NTUQU7662LLZA,Electronics,India,RJ,INR,94681.57,28,26510.84,5,4734.08,89947.49,116458.33,UPI,30,Pending,2026-02-09,2026-03-11,Software License Renewal,110,Medium,False,1,0,1,0,0,0,0,0,0,30,0
INV-2026-000074,PO-2026-000074,VEN1019,Zenith Solutions,36EHUCM1069QSZP,Office Supplies,India,TS,INR,7560.21,12,907.23,0,0.0,7560.21,8467.44,Cheque,45,Pending,2026-01-06,2026-02-20,Server Upgrade,143,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000075,PO-2026-000075,VEN1060,Future Electronics,29DXMRR9575X2ZQ,Cloud Services,India,KA,INR,37658.51,18,6778.53,5,1882.93,35775.58,42554.11,UPI,45,Pending,2026-01-26,2026-03-12,Business Analytics Consulting,101,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000076,PO-2026-000076,VEN1019,Zenith Solutions,36EHUCM1069QSZP,Office Supplies,India,TS,INR,8527.93,12,1023.35,0,0.0,8527.93,9551.28,Cheque,60,Pending,2025-08-20,2025-10-19,Printer Cartridge Supply,143,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000077,PO-2026-000077,VEN1097,Vertex Networks,24JTPVY9505UOZT,Hardware,India,GJ,INR,250494.82,18,45089.07,5,12524.74,237970.08,283059.15,RTGS,45,Processing,2026-04-01,2026-05-16,Network Switch Installation,93,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000078,PO-2026-000078,VEN1095,Unknown Vendor,08MBFIA5018SZZK,Maintenance,India,RJ,INR,17568.88,18,3162.4,5,878.44,16690.44,19852.84,Bank Transfer,45,Pending,2025-08-27,2025-10-11,Business Analytics Consulting,53,Medium,False,0,0,1,0,0,0,0,1,0,0,0
INV-2026-000079,PO-2026-000079,VEN1047,Vision Systems,08NGQTG4112B8ZN,Software,India,RJ,INR,83240.03,18,14983.21,5,4162.0,79078.03,94061.24,Bank Transfer,30,Overdue,2025-10-16,2025-10-02,Printer Cartridge Supply,89,Low,False,0,0,1,0,1,0,0,0,0,15,0
INV-2026-000080,PO-2026-000080,VEN1045,Apex Systems,29WJSTJ1658USZJ,Cloud Services,India,KA,INR,132092.02,18,23776.56,5,6604.6,125487.42,149263.98,UPI,60,Processing,2026-05-13,2026-07-12,Printer Cartridge Supply,116,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000081,PO-2026-000081,VEN1083,Future Consulting,29TIUKL5562KUZM,Maintenance,India,KA,INR,50180.0,18,9032.4,0,0.0,50180.0,59212.4,Bank Transfer,60,Overdue,2025-10-25,2025-12-24,Server Upgrade,35,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000328,PO-2026-000082,VEN1074,Prime Networks,INVALIDGST,Software,India,WB,INR,86177.24,18,5429.16,5,1508.1,28653.91,34083.07,RTGS,30,Failed,2026-02-23,2026-03-25,Cyber Security Audit,106,Low,True,1,0,0,0,0,1,1,0,0,100,1
INV-2026-000083,PO-2026-000083,VEN1030,Nova Enterprises,19KVPRF7777MJZQ,Cloud Services,India,WB,INR,54687.42,18,9843.74,10,5468.74,49218.68,59062.42,Bank Transfer,45,Pending,2026-04-09,2026-05-24,Printer Cartridge Supply,93,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000084,PO-2026-000084,VEN1047,Vision Systems,08NGQTG4112B8ZN,Software,India,RJ,INR,87030.99,18,15665.58,10,8703.1,78327.89,93993.47,Bank Transfer,30,Overdue,2025-07-09,2025-08-08,Database Consulting,89,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000085,PO-2026-000085,VEN1069,Vertex Corporation,07LHRNK4158FSZL,Consulting,India,DL,INR,177638.41,18,31974.91,10,17763.84,159874.57,191849.48,NEFT,60,Pending,2026-05-24,2026-07-23,Firewall Installation,113,Medium,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000086,PO-2026-001524,VEN1081,Unknown Vendor,INVALIDGST,Cloud Services,India,WB,INR,49523.87,18,8914.3,0,0.0,49523.87,58438.17,Cheque,60,Processing,2026-01-07,2026-03-08,Cloud Infrastructure Subscription,93,Low,False,0,1,0,0,0,0,0,1,0,45,0
INV-2026-000087,PO-2026-000087,VEN1081,Nova Corporation,19AEGON5700M6Z7,Cloud Services,India,WB,INR,49128.03,18,8843.05,0,0.0,49128.03,57971.08,Cheque,60,Overdue,2025-08-29,2025-10-28,Database Consulting,93,Low,False,0,0,1,0,0,0,0,0,0,0,0
INV-2026-000088,PO-2026-000088,VEN1083,Future Consulting,29TIUKL5562KUZM,Maintenance,India,KA,INR,51260.95,18,9226.97,0,0.0,51260.95,60487.92,Bank Transfer,15,Overdue,2025-11-09,2025-11-24,IT Infrastructure Upgrade,35,Low,False,0,0,1,0,0,0,0,0,0,0,0
